Name,Address,Latitude,Longitude
Adler University,"17 North Dearborn Street, Chicago, Illinois 60602",41.88247,-87.629307
American Islamic College,"640 W Irving Park RD, Chicago, Illinois 60613",41.9549261,-87.6457926
Aveda Institute-Chicago,"2828 N Clark St, Chicago, Illinois 60657",41.9334495,-87.64585859
Aviation Institute of Maintenance-Chicago,"3711 South Ashland Avenue, Chicago, Illinois 60609-2130",41.8257166,-87.66440114
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.","1407 East 60th Street, Chicago, Illinois 60637",41.78570865,-87.59105363
Cannella School of Hair Design-Chicago,"4269 S Archer Ave, Chicago, Illinois 60632-2549",41.8156723,-87.70116176
Cannella School of Hair Design-Chicago,"9012 S Commercial, Chicago, Illinois 60617-4303",41.7313625,-87.55168493
Catholic Theological Union at Chicago,"5416 S Cornell Ave, Chicago, Illinois 60615-5698",41.7978415,-87.58601469
Chicago State University,"9501 S. King Drive, Chicago, Illinois 60628-1598",41.71700465,-87.60953262
Chicago Theological Seminary,"1407 E. 60th Street, Chicago, Illinois 60637",41.78570865,-87.59105363
City Colleges of Chicago-Harry S Truman College,"1145 W Wilson Ave., Chicago, Illinois 60640-6063",41.9649709,-87.6597718
City Colleges of Chicago-Kennedy-King College,"6301 S Halsted St, Chicago, Illinois 60621-2709",41.77848835,-87.64275537
City Colleges of Chicago-Malcolm X College,"1900 W Jackson Blvd, Chicago, Illinois 60612-3197",41.8781284,-87.67410491
City Colleges of Chicago-Olive-Harvey College,"10001 S Woodlawn Ave, Chicago, Illinois 60628-1696",41.7099682,-87.58892188
City Colleges of Chicago-Richard J Daley College,"7500 S Pulaski Rd, Chicago, Illinois 60652-1299",41.75553015,-87.72392379
City Colleges of Chicago-Wilbur Wright College,"4300 N Narragansett, Chicago, Illinois 60634-1500",41.9588561,-87.78873777
Columbia College Chicago,"600 South Michigan Ave, Chicago, Illinois 60605-1996",41.8737829,-87.62512529
DePaul University,"1 E Jackson Blvd, Chicago, Illinois 60604",41.8774528,-87.62722725
East-West University,"816 S Michigan Ave, Chicago, Illinois 60605",41.8712502,-87.62473324
Erikson Institute,"451 N. LaSalle Street, Chicago, Illinois 60654-4510",41.89020608,-87.63234897
HVAC Technical Institute,"4532 South Kolin Avenue, Chicago, Illinois 60632-4457",41.8109481,-87.73400572
Illinois College of Optometry,"3241 S Michigan Ave, Chicago, Illinois 60616-3878",41.83596855,-87.62259156
Illinois Institute of Technology,"10 West 35th Street, Chicago, Illinois 60616",41.8313472,-87.6273198
Institute for Clinical Social Work,"1345 W Argyle Street, Chicago, Illinois 60640-1229",41.9721218,-87.66383041
Larry's Barber College,"10456 S. Halsted Street, Chicago, Illinois 60628-2322",41.70407401,-87.64285552
Loyola University Chicago,"1032 W. Sheridan Rd, Chicago, Illinois 60660",42.0001152,-87.6605825
Meadville Theological School of Lombard College,"180 N. Wabash Avenue, Chicago, Illinois 60601",41.88542085,-87.62668223
Midwestern Career College,"203 N LaSalle, Chicago, Illinois 60601",41.8860538,-87.6319636
National Latino Education Institute,"2011 W Pershing Rd, Chicago, Illinois 60609-2205",41.8231088,-87.66857302
National Louis University,"122 S Michigan Ave, Chicago, Illinois 60603",41.8799219,-87.6249474
Networks Barber College,"325 West 103rd Street, Chicago, Illinois 60628-2503",41.70698669,-87.63107807
North Park University,"3225 W Foster Ave, Chicago, Illinois 60625-4895",41.9755798,-87.7085827
Northeastern Illinois University,"5500 N Saint Louis Ave, Chicago, Illinois 60625-4699",41.98026885,-87.71848508
Paul Mitchell the School-Chicago,"1225 S Halsted St, Chicago, Illinois 60607",41.86615806,-87.6467773
Roosevelt University,"430 S Michigan Ave, Chicago, Illinois 60605-1394",41.87613485,-87.62518165
Saint Xavier University,"3700 W 103rd St, Chicago, Illinois 60655",41.70753435,-87.71626264
School of the Art Institute of Chicago,"36 S Wabash, Chicago, Illinois 60603",41.88166076,-87.62631052
Spertus College,"610 S Michigan Ave, Chicago, Illinois 60605",41.87403595,-87.62480081
St. Augustine College,"1345 W. Argyle St., Chicago, Illinois 60640-3501",41.9721218,-87.66383041
Steven Papageorge Hair Academy,"3401 w Lawrence, Chicago, Illinois 60625",41.968317,-87.713527
Telshe Yeshiva-Chicago,"3535 West Foster, Chicago, Illinois 60625",41.9754561,-87.7174883
The Chicago School at Chicago,"325 N Wells Street, Chicago, Illinois 60654",41.88824715,-87.63371424
Toyota Technological Institute at Chicago,"6045 S. Kenwood Avenue, Chicago, Illinois 60637",41.7847298,-87.5924647
Tricoci University of Beauty Culture-Chicago NE,"6458 North Sheridan Road, Chicago, Illinois 60626-5232",41.99945229,-87.66078254
Tricoci University of Beauty Culture-Chicago NW,"5321 N Harlem Ave, Chicago, Illinois 60656",41.9776317,-87.80670773
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,"2260 South Grove Street, Chicago, Illinois 60616-1823",41.85084705,-87.64088968
University of Aesthetics & Cosmetology,"1357 N Milwaukee Ave, Chicago, Illinois 60622-2151",41.90666425,-87.67117737
University of Chicago,"5801 S Ellis Ave, Chicago, Illinois 60637",41.79139685,-87.60084387
University of Illinois Chicago,"601 S Morgan, Chicago, Illinois 60607",41.87377875,-87.65100101
University of Notre Dame -,"224 South Michigan Avenue, Chicago, Illinois 60604-2535",41.8783991,-87.6246417
VanderCook College of Music,"3140 South Federal Street, Chicago, Illinois 60616-3731",41.83676195,-87.6291654
American Academy of Art College,"332 S Michigan Ave, Chicago, Illinois 60604-4302",41.877797,-87.624148
City Colleges of Chicago-Harold Washington College,"30 E Lake St, Chicago, Illinois 60601-2449",41.885077,-87.625718
Generations College,"29 E. Madison, Chicago, Illinois 60602-4405",41.882064,-87.626047
Illinois Media School,"8501 W. Higgins Rd. Suite 450, Chicago, Illinois, USA",41.981778,-87.837385
Illinois Media School-Chicago Campus,"105 W. Adams, Suite 1900, Chicago, Illinois 60602",41.878348,-87.630459
Larry's Barber College,"701 E 79th St #709, Chicago, Illinois 60619-3101",41.751389,-87.606178
Lutheran School of Theology at Chicago,"5416 S. Cornell Avenue, Fourth Floor, Chicago, Illinois, USA",41.794844,-87.596045
McCormick Theological Seminary,"5416 South Cornell Avenue, 5th Floor, Chicago, Illinois, USA",41.794844,-87.596045
MDT College of Health Sciences,"25 East Washington, #200, Chicago, Illinois 60602",41.882135,-87.626648
Moody Bible Institute,"820 N LaSalle Blvd, Chicago, Illinois 60610-3284",41.896428,-87.632086
Pacific College of Health and Science,"65 East Wacker Place, 21st fl, Chicago, Illinois, USA",41.886246,-87.623457
Relay Graduate School of Education - Chicago,"924 W 19th Place, Suite 200, Chicago, Illinois, USA",41.855034,-87.652784
Rush University,"600 S. Paulina St. STE 440, Chicago, Illinois, USA",41.870398,-87.669349
SAE Institute of Technology-Chicago,"820 N. Orleans Street, Suite 125, Chicago, Illinois, USA",41.895979,-87.638584
Soma Institute-The National School of Clinical Massage Therapy,"55 E. Jackson Boulevard - Ste 300, Chicago, Illinois, USA",41.878103,-87.623604
Stellar Career College,"205 W. Randolph Street, Suite 200, Chicago, Illinois, USA",41.884675,-87.631389
Taylor Business Institute,"180 North Wabash Avenue, Fifth Floor, Chicago, Illinois, USA",41.883756,-87.625988
