DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.85182, -87.745336)"
E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853839, -87.714842)"
W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.778943, -87.644244)"
N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.984246, -87.838028)"
E,Racine (O'Hare-bound),Racine,Racine (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.87592, -87.659458)"
N,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.943623, -87.670907)"
W,18th (54th/Cermak-bound),18th,18th (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.857908, -87.669147)"
S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",1,0,1,0,0,0,0,0,0,0,"(41.885737, -87.630886)"
S,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.970634, -87.760892)"
S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.932732, -87.653131)"
N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.961756, -87.675047)"
E,UIC-Halsted (O'Hare-bound),UIC-Halsted,UIC-Halsted (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.875474, -87.649707)"
S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.831677, -87.625826)"
S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.05416, -87.68356)"
S,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",1,0,0,0,1,0,0,0,0,0,"(41.878723, -87.63374)"
N,Southport (Kimball-bound),Southport,Southport (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.943744, -87.663619)"
S,Loyola (95th-bound),Loyola,Loyola (Red Line),1,1,0,0,0,0,0,0,0,0,"(42.001073, -87.661061)"
N,47th (Howard-bound),47th,47th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.810318, -87.63094)"
N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.983504, -87.65884)"
W,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,Harlem (Blue Line - Forest Park Branch),0,0,1,0,0,0,0,0,0,0,"(41.87349, -87.806961)"
N,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow lines)",1,1,0,0,0,0,0,0,0,0,"(42.019063, -87.672892)"
E,Kedzie (63rd-bound),Kedzie,Kedzie (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.884321, -87.706155)"
W,King Drive (Harlem-bound),King Drive,King Drive (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.78013, -87.615546)"
W,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.77886, -87.663766)"
N,95th/Dan Ryan (Howard-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.722377, -87.624342)"
N,Western (O'Hare Branch) (O'Hare-bound),Western,Western (Blue Line - O'Hare Branch),1,0,1,0,0,0,0,0,0,0,"(41.916157, -87.687364)"
S,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.918217, -87.652644)"
S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.722377, -87.624342)"
N,Roosevelt (Howard-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",1,1,0,0,0,0,0,0,0,0,"(41.867368, -87.627402)"
S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple lines)",1,1,0,0,0,0,0,0,0,0,"(41.939751, -87.65338)"
W,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.85177331, -87.75669201)"
E,King Drive (Cottage Grove-bound),King Drive,King Drive (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.78013, -87.615546)"
S,Dempster (Howard-Loop-bound),Dempster,Dempster (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.041655, -87.681602)"
S,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",1,0,0,0,1,0,1,0,0,0,"(41.925051, -87.652866)"
N,Lawrence (Howard-bound),Lawrence,Lawrence (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.969139, -87.658493)"
W,Illinois Medical District (Forest Pk-bound),Illinois Medical District,Illinois Medical District (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.875706, -87.673932)"
S,Lake (95th-bound),Lake,Lake (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.884809, -87.627813)"
S,79th (95th-bound),79th,79th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.750419, -87.625112)"
E,Austin (63rd-bound),Austin,Austin (Green Line),0,0,0,1,0,0,0,0,0,0,"(41.887293, -87.774135)"
E,Clinton (O'Hare-bound),Clinton,Clinton (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.875539, -87.640984)"
N,Wellington (Kimball-Linden-bound),Wellington,Wellington (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.936033, -87.653266)"
N,"Howard (Linden, Skokie-bound)",Howard,"Howard (Red, Purple & Yellow lines)",1,0,0,0,0,1,1,1,0,0,"(42.019063, -87.672892)"
E,Oak Park (63rd-bound),Oak Park,Oak Park (Green Line),0,0,0,1,0,0,0,0,0,0,"(41.886988, -87.793783)"
S,Western (O'Hare Branch) (Forest Pk-bound),Western,Western (Blue Line - O'Hare Branch),1,0,1,0,0,0,0,0,0,0,"(41.916157, -87.687364)"
S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.983504, -87.65884)"
N,Chicago (Howard-bound),Chicago,Chicago (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.896671, -87.628176)"
N,Sedgwick (Kimball-Linden-bound),Sedgwick,Sedgwick (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.910409, -87.639302)"
N,Addison (O'Hare-bound),Addison,Addison (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.94738, -87.71906)"
S,Montrose (Loop-bound),Montrose,Montrose (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.961756, -87.675047)"
S,Jackson/Dearborn (Forest Pk-bound),Jackson,Jackson (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.878183, -87.629296)"
W,Kedzie (54th/Cermak-bound),Kedzie,Kedzie (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853964, -87.705408)"
S,Monroe (Forest Pk-bound),Monroe,Monroe (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.880703, -87.629378)"
N,Rockwell (Kimball-bound),Rockwell,Rockwell (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966115, -87.6941)"
W,Damen (54th/Cermak-bound),Damen,Damen (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.854517, -87.675975)"
W,Pulaski (Forest Pk-bound),Pulaski,Pulaski (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.873797, -87.725663)"
N,Foster (Linden-bound),Foster,Foster (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.05416, -87.68356)"
W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.886848, -87.803176)"
S,Washington/Wabash (Inner Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",1,0,0,1,0,0,1,0,1,1,"(41.88322, -87.626189)"
W,California (Harlem-bound),California,California (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.88422, -87.696234)"
S,Morse (95th-bound),Morse,Morse (Red Line),0,1,0,0,0,0,0,0,0,0,"(42.008362, -87.665909)"
N,Western (Loop-bound),Western,Western (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.804546, -87.684019)"
S,Grand/Milwaukee (Forest Pk-bound),Grand,Grand (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.891189, -87.647578)"
N,Clark/Lake (O'Hare-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",1,0,1,0,0,0,0,0,0,0,"(41.885737, -87.630886)"
N,Grand/Milwaukee (O'Hare-bound),Grand,Grand (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.891189, -87.647578)"
N,Division (O'Hare-bound),Division,Division (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.903355, -87.666496)"
N,Pulaski (Loop-bound),Pulaski,Pulaski (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.799756, -87.724493)"
E,18th (Loop-bound),18th,18th (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.857908, -87.669147)"
N,Sheridan (Howard-Linden-bound),Sheridan,Sheridan (Red Line),0,0,0,0,0,0,0,0,0,0,"(41.953775, -87.654929)"
S,Chicago (Forest Pk-bound),Chicago,Chicago (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.896075, -87.655214)"
N,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,Merchandise Mart (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.888969, -87.633924)"
S,Western (Midway-bound),Western,Western (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.804546, -87.684019)"
N,O'Hare (Terminal Arrival),O'Hare,O'Hare (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.97766526, -87.90422307)"
N,43rd (Harlem-bound),43rd,43rd (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.816462, -87.619021)"
W,Racine (Forest Pk-bound),Racine,Racine (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.87592, -87.659458)"
E,California (63rd-bound),California,California (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.88422, -87.696234)"
S,Division (Forest Pk-bound),Division,Division (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.903355, -87.666496)"
N,Sox-35th (Howard-bound),Sox-35th,Sox-35th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.831191, -87.630636)"
W,Cicero (54th/Cermak-bound),Cicero,Cicero (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.85182, -87.745336)"
S,Logan Square (Forest Pk-bound),Logan Square,Logan Square (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.929728, -87.708541)"
N,Morse (Howard-bound),Morse,Morse (Red Line),0,1,0,0,0,0,0,0,0,0,"(42.008362, -87.665909)"
N,Damen/Milwaukee (O'Hare-bound),Damen,Damen (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.909744, -87.677437)"
S,Sedgwick (Loop-bound),Sedgwick,Sedgwick (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.910409, -87.639302)"
S,Addison (Forest Pk-bound),Addison,Addison (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.94738, -87.71906)"
E,Ashland (Loop-63rd-bound),Ashland,Ashland (Green & Pink lines),1,0,0,1,0,0,0,0,1,0,"(41.885269, -87.666969)"
S,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,Irving Park (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.952925, -87.729229)"
N,Wilson (Linden-bound),Wilson,Wilson (Red & Purple lines),1,0,0,0,0,0,1,0,0,0,"(41.964273, -87.657588)"
N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.853206, -87.630968)"
W,LaSalle (Forest Pk-bound),LaSalle,LaSalle (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.875568, -87.631722)"
N,Thorndale (Howard-bound),Thorndale,Thorndale (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.990259, -87.659076)"
N,79th (Howard-bound),79th,79th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.750419, -87.625112)"
N,Granville (Howard-bound),Granville,Granville (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.993664, -87.659202)"
N,Jackson/Dearborn (O'Hare-bound),Jackson,Jackson (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.878183, -87.629296)"
S,Addison (95th-bound),Addison,Addison (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.947428, -87.653626)"
W,Clinton (Forest Pk-bound),Clinton,Clinton (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.875539, -87.640984)"
W,Oak Park (Harlem-bound),Oak Park,Oak Park (Green Line),0,0,0,1,0,0,0,0,0,0,"(41.886988, -87.793783)"
S,Rockwell (Loop-bound),Rockwell,Rockwell (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966115, -87.6941)"
S,Lawrence (95th-bound),Lawrence,Lawrence (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.969139, -87.658493)"
E,Central (63rd-bound),Central,Central (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.887389, -87.76565)"
W,Conservatory (Harlem-bound),Conservatory,Conservatory (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.884904, -87.716523)"
S,Wellington (Loop-bound),Wellington,Wellington (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.936033, -87.653266)"
N,Noyes (Linden-bound),Noyes,Noyes (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.058282, -87.683337)"
E,Illinois Medical District (O'Hare-bound),Illinois Medical District,Illinois Medical District (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.875706, -87.673932)"
N,47th (Harlem-bound),47th,47th (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.809209, -87.618826)"
N,Lake (Howard-bound),Lake,Lake (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.884809, -87.627813)"
N,Belmont (Kimball-Linden-bound),Belmont,"Belmont (Red, Brown & Purple lines)",1,0,0,0,1,0,1,0,0,0,"(41.939751, -87.65338)"
S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),0,1,0,0,0,0,0,0,0,0,"(42.015876, -87.669092)"
S,Halsted (Midway-bound),Halsted,Halsted (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.84678, -87.648088)"
S,Davis (Howard-Loop-bound),Davis,Davis (Purple Line),1,0,0,0,0,1,1,0,0,0,"(42.04771, -87.683543)"
S,Roosevelt (95th-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",1,1,0,0,0,0,0,0,0,0,"(41.867368, -87.627402)"
N,Fullerton (Howard-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",1,1,0,0,0,0,0,0,0,0,"(41.925051, -87.652866)"
S,Noyes (Howard-Loop-bound),Noyes,Noyes (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.058282, -87.683337)"
N,Chicago (Kimball-Linden-bound),Chicago,Chicago (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.89681, -87.635924)"
E,LaSalle (O'Hare-bound),LaSalle,LaSalle (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.875568, -87.631722)"
N,Monroe (Howard-bound),Monroe,Monroe (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.880745, -87.627696)"
E,Conservatory (63rd-bound),Conservatory,Conservatory (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.884904, -87.716523)"
N,Kedzie (Kimball-bound),Kedzie,Kedzie (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.965996, -87.708821)"
N,51st (Harlem-bound),51st,51st (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.80209, -87.618487)"
N,Garfield (Harlem-bound),Garfield,Garfield (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.795172, -87.618327)"
S,Ashland (Midway-bound),Ashland,Ashland (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.839234, -87.665317)"
N,Grand/State (Howard-bound),Grand,Grand (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.891665, -87.628021)"
N,Cermak-McCormick Place (Harlem-bound),Cermak-McCormick Place,Cermak-McCormick Place (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.853115, -87.626402)"
S,Garfield (63rd-bound),Garfield,Garfield (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.795172, -87.618327)"
W,Polk (54th/Cermak-bound),Polk,Polk (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.871551, -87.66953)"
N,Damen (Kimball-bound),Damen,Damen (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966286, -87.678639)"
W,Pulaski (54th/Cermak-bound),Pulaski,Pulaski (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853732, -87.724311)"
N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.829353, -87.680622)"
S,South Blvd (Howard-Loop-bound),South Boulevard,South Boulevard (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.027612, -87.678329)"
N,Main (Linden-bound),Main,Main (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.033456, -87.679538)"
S,Wilson (95th-bound),Wilson,Wilson (Red & Purple lines),1,1,0,0,0,0,0,0,0,0,"(41.964273, -87.657588)"
S,Jackson/State (95th-bound),Jackson,Jackson (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.878153, -87.627596)"
N,Addison (Howard-bound),Addison,Addison (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.947428, -87.653626)"
N,Argyle (Howard-bound),Argyle,Argyle (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.973453, -87.65853)"
E,H.W. Library (Outer Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",1,0,0,0,1,0,0,0,0,0,"(41.876862, -87.628196)"
N,Sheridan (Howard-bound),Sheridan,Sheridan (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.953775, -87.654929)"
E,Austin (O'Hare-bound),Austin,Austin (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.870851, -87.776812)"
N,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,Irving Park (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.952925, -87.729229)"
N,Washington (O'Hare-bound),Washington,Washington (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.883164, -87.62944)"
W,Central (Harlem-bound),Central,Central (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.887389, -87.76565)"
E,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.874341, -87.70604)"
S,Wilson (Loop-bound),Wilson,Wilson (Red & Purple lines),1,0,0,0,0,0,1,0,0,0,"(41.964273, -87.657588)"
N,63rd (Howard-bound),63rd,63rd (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.780536, -87.630952)"
W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",1,0,0,0,0,0,1,0,1,1,"(41.876862, -87.628196)"
N,Kedzie (Loop-bound),Kedzie,Kedzie (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.804236, -87.704406)"
E,Laramie (63rd-bound),Laramie,Laramie (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.887163, -87.754986)"
S,87th (95th-bound),87th,87th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.735372, -87.624717)"
W,Austin (Forest Pk-bound),Austin,Austin (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.870851, -87.776812)"
W,Western (Forest Pk Branch) (Forest Pk-bound),Western,Western (Blue Line - Forest Park Branch),0,0,1,0,0,0,0,0,0,0,"(41.875478, -87.688436)"
N,Western (Kimball-bound),Western,Western (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.966163, -87.688502)"
N,California (O'Hare-bound),California,California (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.921939, -87.69689)"
E,Forest Park (O'Hare-bound),Forest Park,Forest Park (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.874257, -87.817318)"
